ages, global_5, global_median, global_95, 60N_to_90N_5, 60N_to_90N_median, 60N_to_90N_95, 30N_to_60N_5, 30N_to_60N_median, 30N_to_60N_95, 0N_to_30N_5, 0N_to_30N_median, 0N_to_30N_95, 30S_to_0S_5, 30S_to_0S_median, 30S_to_0S_95, 60S_to_30S_5, 60S_to_30S_median, 60S_to_30S_95, 90S_to_60S_5, 90S_to_60S_median, 90S_to_60S_95
0.000000000000000000e+00,-2.624000687632117024e-01,8.769333766782336226e-02,5.794705392405086197e-01,-6.375883959556886138e-01,5.173936796534592264e-02,9.344504887542062210e-01,-2.580654227451756322e-01,1.991567096806419745e-01,9.064636211878366323e-01,-8.734260134903079065e-01,3.443510271344306373e-02,9.797298830808383041e-01,-7.495901292925619686e-01,9.737445119410305383e-03,8.789199100179172497e-01,-1.241003795776429275e+00,-3.828998723858700881e-02,9.912203942605434248e-01,-5.709116822615935005e-01,4.969988834052864735e-01,3.115191092454506538e+00
1.000000000000000000e+02,-3.420046378871952619e-01,0.000000000000000000e+00,3.556380226164311820e-01,-1.140293672789785884e+00,0.000000000000000000e+00,6.633023963349709007e-01,-4.693033721131446567e-01,1.387778780781445676e-17,4.480321568223572526e-01,-7.607134455034666454e-01,0.000000000000000000e+00,7.901937101122468166e-01,-5.949137355539496630e-01,0.000000000000000000e+00,6.475183375309434552e-01,-1.010743675346459369e+00,0.000000000000000000e+00,1.051484112919780944e+00,-1.462354849906725818e+00,0.000000000000000000e+00,1.287652755245913161e+00
2.000000000000000000e+02,-2.895163982566622551e-01,5.046003009134793910e-02,3.867425888748635132e-01,-8.111619791969704174e-01,1.463652979852477776e-01,8.003746658537551628e-01,-3.669834316116215578e-01,1.244128636933607285e-01,7.501100079024380918e-01,-9.452954692880749521e-01,-4.933970707530391242e-02,6.508630450496857289e-01,-3.892572077457278623e-01,9.051695401764947579e-02,6.907942386639337462e-01,-8.103431054287690838e-01,7.288154480146180614e-02,1.201288939555161139e+00,-1.880789401662915417e+00,-1.924570536611570071e-01,8.900868965820888379e-01
3.000000000000000000e+02,-3.132759769846403808e-01,2.498310641487144768e-02,3.591864251309217493e-01,-9.031972664766911851e-01,1.556075395310410336e-01,7.765885775437517680e-01,-3.956627723642744954e-01,1.326313488203522961e-01,8.144183826660159609e-01,-9.918137161027854587e-01,-8.082238972885645578e-02,5.447018106698487960e-01,-4.444753673334163047e-01,2.722608902851296822e-02,5.981732707602964716e-01,-8.056147333179546344e-01,8.032870791336158001e-02,1.187525870524535065e+00,-1.860937449690091228e+00,-1.670030915222664725e-01,9.346801087607670144e-01
4.000000000000000000e+02,-3.161970320970838300e-01,3.491485825383604247e-02,3.475193785823155745e-01,-8.103636205561323136e-01,1.863629515516584123e-01,8.613760320229664202e-01,-4.027284429403257260e-01,1.380342213734351287e-01,8.782266731187751141e-01,-1.290324463268797572e+00,-1.576298429580888505e-01,4.003886780796265810e-01,-4.163884684929520241e-01,4.898660491720385757e-02,6.033354373615765764e-01,-6.011972625978346807e-01,1.878927904318884734e-01,1.390817400854470032e+00,-1.880273724243144207e+00,-7.784989091844851661e-02,1.110170769636514843e+00
5.000000000000000000e+02,-2.843036541873212864e-01,3.690129002861744500e-02,3.393274769924275458e-01,-5.254260726253660030e-01,2.439344905481761472e-01,1.013376881915924344e+00,-4.183041232796426701e-01,8.433784192060068963e-02,7.165143061785123058e-01,-1.240637071232214561e+00,-1.656044058222893023e-01,4.263637417351858749e-01,-4.117725375237717422e-01,3.459736815336329069e-02,5.572973593392293035e-01,-5.823006418899886460e-01,1.806829316502445715e-01,1.405031854047186446e+00,-1.749424438963544715e+00,-8.447359032070160534e-03,1.226493207208953384e+00
6.000000000000000000e+02,-2.401177016825493116e-01,7.282042265674244785e-02,3.652211935870644521e-01,-5.963669440319122605e-01,1.974738355344643759e-01,9.222113969013233659e-01,-3.548643290301760067e-01,1.513102625909696908e-01,7.581259874128111198e-01,-1.082643544947570868e+00,-1.555282946213377704e-01,3.808491028670019096e-01,-2.886378110670674291e-01,1.057628632455085010e-01,6.443746347772428829e-01,-6.303164821914846172e-01,1.519982950838655866e-01,1.185961002960930877e+00,-1.540146664341343730e+00,7.337802412416974396e-02,1.400995267241117226e+00
7.000000000000000000e+02,-2.277414065711181879e-01,7.405049724453409421e-02,3.818160380719562430e-01,-6.648649743510743892e-01,2.102070166652888206e-01,1.020971336952656294e+00,-3.254847800069258779e-01,1.469981476842129042e-01,7.985307452450406407e-01,-1.179467290351624342e+00,-1.519797725533281185e-01,4.043440179697602721e-01,-2.659239205196718969e-01,1.473839284250453852e-01,7.169044914046721617e-01,-7.469883218868403896e-01,6.480429419203831420e-02,1.076078692293264583e+00,-1.310251682863778910e+00,1.332897836287619819e-01,1.863605724690422960e+00
8.000000000000000000e+02,-2.015568698076404819e-01,8.381864513254216886e-02,3.748205257931526146e-01,-5.009866811114593865e-01,2.780444516225614171e-01,1.203891189673475193e+00,-3.256430344018104717e-01,1.315154829298910422e-01,7.527205250643478340e-01,-1.070497244100804268e+00,-1.726508434001904901e-01,3.749119171798199757e-01,-2.303846497998227050e-01,1.426872390110147104e-01,7.483158744967646214e-01,-7.128888039621631423e-01,9.271166178347581277e-02,1.114616321099954233e+00,-1.145036005674803015e+00,1.193293747343171507e-01,1.728751642114981557e+00
9.000000000000000000e+02,-2.174405753386584317e-01,8.432810886273142681e-02,3.793313658761389151e-01,-3.969220113316624388e-01,3.130499005401199963e-01,1.289805399750814319e+00,-3.101079358413208475e-01,2.007521238597816671e-01,9.077868670698756581e-01,-1.186637869166031534e+00,-1.892820175779764413e-01,3.545458940084075805e-01,-2.940126866268661376e-01,1.000869095748620902e-01,6.948986235472669470e-01,-6.629665945704384944e-01,9.998861641248163457e-02,1.193222766058167572e+00,-9.899146738913220389e-01,1.086375514591530200e-01,1.646483440243450502e+00
1.000000000000000000e+03,-1.877797789097484515e-01,1.142904910202417468e-01,4.202813925859110733e-01,-3.384815725966905386e-01,3.401524898919026096e-01,1.327875306293938573e+00,-2.790889732501776743e-01,2.678301191042828933e-01,1.076557674599410319e+00,-1.084511462153506578e+00,-1.629246749048644805e-01,4.034176526706607646e-01,-2.526253623359505096e-01,1.181468302410952909e-01,7.454121564670125322e-01,-7.437070468944065871e-01,7.054685752951093958e-02,1.029699361709958794e+00,-9.631110211721649605e-01,1.709778555741080508e-01,1.785460233372517358e+00
1.100000000000000000e+03,-1.453192516280865376e-01,1.403058420780895210e-01,4.704336236715812025e-01,-3.918119495192922130e-01,3.188926378797689587e-01,1.302179588180740977e+00,-2.532815525625726205e-01,3.046172215530779659e-01,1.161676299993423145e+00,-9.615775750658495102e-01,-1.142937845772677569e-01,5.050940289060726895e-01,-2.120093092259035250e-01,1.684954148188300138e-01,7.382389097656411048e-01,-7.492419746338840891e-01,5.459661877398219731e-02,9.222949277922902755e-01,-7.917252243588394078e-01,3.548384640454545491e-01,1.888808270326840733e+00
1.200000000000000000e+03,-1.188108239647603093e-01,1.708554213882665929e-01,5.111449221495073525e-01,-2.773111416882624858e-01,3.616630902234179157e-01,1.415500620471080051e+00,-2.701352447046620475e-01,3.247576045692147639e-01,1.167765011252827279e+00,-1.009470333969600730e+00,-1.296264179750580281e-01,4.496750490749347740e-01,-2.013761963097012719e-01,1.827568849940468254e-01,7.330686596312370185e-01,-6.077145973971799231e-01,1.291093437655437270e-01,1.059401031851867847e+00,-5.514571458705591622e-01,4.305507084806020623e-01,1.941583362948339220e+00
1.300000000000000000e+03,-7.200792974740494179e-02,1.794266535708665677e-01,5.039525632181636183e-01,-2.989701431944504217e-01,3.839459491618653075e-01,1.418930928165355487e+00,-2.339972981217718073e-01,2.728119673483149210e-01,1.080723225130642895e+00,-1.032872603106425924e+00,-1.309885482541171542e-01,4.734725903478383957e-01,-1.930694559094603691e-01,1.989685862398342109e-01,7.846194280405340837e-01,-3.770954768733179585e-01,2.801348396542834296e-01,1.222859602092146725e+00,-6.582351273890284515e-01,3.976307400076637411e-01,1.853279700517170170e+00
